FIRST NAME      LAST NAME       CITY                  PHONE NUMBER                LAST ID VOTING HISTORY
Autumn          Austin          Gaithersburg          (301) 846-4840                    1              2
Walter          Lopez           Bethesda              (301) 877-4377                    3              1
Rama            Reid            Clarksburg            (301) 758-9441                    1              4
Brielle         Decker          Glen Echo             (301) 470-1867                    2              5
Zena            Frank           Woodbine              (301) 622-2643                    4              2
Eleanor         Mayo            Damascus              (301) 989-6840                    2              5
Phelan          Valentine       Gaithersburg          (301) 300-5490                    1              3
Florence        Carson          Gaithersburg          (301) 235-7632                    4              3
Melissa         Horne           Takoma Park           (301) 123-6839                    5              4
Victor          Villarreal      Gaithersburg          (301) 104-1242                    3              3
Brenna          Rasmussen       Silver Spring         (301) 224-8306                    1              4
Michelle        Pitts           Beallsville           (301) 275-9497                    2              4
Ivan            Patton          Rockville             (301) 328-2122                    3              6
Hayden          Brock           Germantown            (301) 779-4436                    2              1
Chava           Jenkins         Gaithersburg          (301) 109-3323                    4              3
Malik           Meadows         Gaithersburg          (301) 358-3767                    1              5
Noel            Ferguson        Ashton                (301) 868-6118                    3              6
Sade            Quinn           Brookeville           (301) 463-5220                    3              3
Karly           Rivas           Chevy Chase           (301) 964-0469                    1              5
Maisie          Mejia           Rockville             (301) 882-8705                    5              4
Jescie          Jacobson        Germantown            (301) 297-3434                    5              3
Carissa         Pittman         Brinklow              (301) 874-7766                    5              5
Trevor          Byrd            Brinklow              (301) 870-4344                    5              5
Aileen          Meyers          Silver Spring         (301) 689-8023                    5              4
Aileen          Cabrera         Gaithersburg          (301) 814-7934                    2              1
Baker           Conley          Gaithersburg          (301) 314-0413                    5              4
Griffin         Mcfadden        Boyds                 (301) 415-6540                    3              4
Leo             Battle          Rockville             (301) 544-6497                    5              6
Porter          Daniel          Barnesville           (301) 965-2581                    3              2
Chava           Harris          Silver Spring         (301) 874-0675                    5              4
Ora             England         Gaithersburg          (301) 367-3934                    5              3
Edan            Koch            Bethesda              (301) 207-1749                    4              2
Moses           Wilson          Damascus              (301) 566-9715                    5              5
Winter          Ware            Burtonsvlile          (301) 160-1605                    3              7
Jasper          Solis           Bethesda              (301) 990-2898                    2              3
Erich           Alvarado        Derwood               (301) 723-6794                    4              4
Alma            Mills           Rockville             (301) 149-2555                    5              4
Quail           Curry           Bethesda              (301) 368-2901                    3              4
Deanna          Boyd            Bethesda              (301) 732-5762                    4              3
Sophia          Goodwin         Bethesda              (301) 983-4882                    2              7
Herrod          Petersen        Silver Spring         (301) 564-3636                    3              3
Graiden         Wyatt           Silver Spring         (301) 791-8020                    3              3
Vivien          Orr             Ashton                (301) 424-8390                    3              3
Joy             Kelley          Silver Spring         (301) 164-3249                    4              5
Barclay         House           Rockville             (301) 876-7412                    1              4
Eugenia         Cameron         Gaithersburg          (301) 558-4692                    4              5
Kennan          Navarro         Gaithersburg          (301) 465-2277                    1              5
Simon           Fletcher        Boyds                 (301) 434-1257                    4              5
Kyle            Hurley          Gaithersburg          (301) 922-7835                    1              6
Geraldine       Tanner          Spencerville          (301) 860-2226                    1              5
Germaine        Kline           Laurel                (301) 350-6219                    4              3
Yolanda         Alvarez         Silver Spring         (301) 868-0818                    4              2
Garrison        Holloway        Ashton                (301) 714-5455                    3              3
Brennan         Wise            Sandy Spring          (301) 664-6786                    4              4
Stone           Douglas         Clarksburg            (301) 144-6960                    2              4
Desiree         Baxter          Damascus              (301) 264-7165                    2              5
Rashad          Knapp           Highland              (301) 709-5859                    1              5
Nita            Schmidt         Boyds                 (301) 661-3801                    1              6
Donovan         Mcclain         Woodbine              (301) 155-8882                    4              3
Nadine          Paul            Dickerson             (301) 243-5927                    3              4
